row_index,cluster_id,action,source,location,latitude,longitude,d2H_wax,d2H_wax_err,data_source
23,1,KEEP,"Bai et al., 2011",Mt Kunlun,36.58,77.01,-198.0,,original
24,1,REMOVE,"Bai et al., 2011",Mt Kunlun,36.57,77.0,-197.0,,original
25,1,REMOVE,"Bai et al., 2011",Mt Kunlun,36.57,77.0,-198.0,,original
41,2,KEEP,"Bai et al., 2014",Mt Qilian,37.62,101.9,-148.0,,original
45,2,REMOVE,"Bai et al., 2014",Mt Qilian,37.66,101.86,-148.0,,original
46,3,KEEP,"Bai et al., 2014",Mt Qilian,35.77,103.96,-199.0,,original
51,3,REMOVE,"Bai et al., 2014",Mt Qilian,35.77,103.95,-201.0,,original
48,4,KEEP,"Bai et al., 2014",Mt Qilian,39.32,97.85,-162.0,,original
52,4,REMOVE,"Bai et al., 2014",Mt Qilian,39.33,97.84,-162.0,,original
56,5,KEEP,"Bai et al., 2014",Mt Qilian,35.78,103.95,-217.0,,original
59,5,REMOVE,"Bai et al., 2014",Mt Qilian,35.78,103.95,-216.0,,original
57,6,KEEP,"Bai et al., 2014",Mt Qilian,39.34,97.79,-165.0,,original
73,6,REMOVE,"Bai et al., 2014",Mt Qilian,39.34,97.79,-166.0,,original
63,7,KEEP,"Bai et al., 2014",Mt Qilian,39.31,97.72,-168.0,,original
71,7,REMOVE,"Bai et al., 2014",Mt Qilian,39.33,97.74,-166.0,,original
74,7,REMOVE,"Bai et al., 2014",Mt Qilian,39.33,97.74,-168.0,,original
68,8,KEEP,"Bai et al., 2014",Mt Qilian,37.53,101.83,-163.0,,original
70,8,REMOVE,"Bai et al., 2014",Mt Qilian,37.53,101.83,-163.0,,original
75,9,KEEP,"Chikaraishi and Naraoka, 2006",Gunma Prefecture,36.47,138.87,-166.0,,original
76,9,REMOVE,"Chikaraishi and Naraoka, 2006",Gunma Prefecture,36.47,138.87,-168.0,,original
77,9,REMOVE,"Chikaraishi and Naraoka, 2006",Gunma Prefecture,36.47,138.87,-167.0,,original
80,10,KEEP,Daniels et al 2017,S6,68.63,-149.64,-261.0,,original
82,10,REMOVE,Daniels et al 2017,S7,68.63,-149.64,-261.0,,original
83,11,KEEP,Daniels et al 2017,I7,68.6,-149.59,-269.0,,original
91,11,REMOVE,Daniels et al 2017,I5,68.59,-149.59,-268.0,,original
84,12,KEEP,Daniels et al 2017,I8,68.61,-149.58,-260.0,,original
92,12,REMOVE,Daniels et al 2017,I1,68.57,-149.59,-260.0,,original
86,13,KEEP,Daniels et al 2017,FOG1,68.68,-149.08,-257.0,,original
87,13,REMOVE,Daniels et al 2017,FOG2,68.68,-149.09,-259.0,,original
89,14,KEEP,Daniels et al 2017,I3,68.58,-149.58,-265.0,,original
90,14,REMOVE,Daniels et al 2017,I4,68.58,-149.58,-264.0,,original
94,14,REMOVE,Daniels et al 2017,I6,68.6,-149.59,-265.0,,original
136,15,KEEP,"Feng et al., 2019",JS7,26.489,100.353,-177.0,,original
138,15,REMOVE,"Feng et al., 2019",JS5,26.485,100.345,-177.0,,original
147,16,KEEP,"Feng et al., 2019",JH3,26.555,99.968,-210.0,,original
148,16,REMOVE,"Feng et al., 2019",JH4,26.56,99.975,-210.0,,original
149,17,KEEP,"Feng et al., 2019",LJ3,26.64,99.85,-214.0,,original
151,17,REMOVE,"Feng et al., 2019",LJ4,26.635,99.836,-214.0,,original
158,18,KEEP,"Feng et al., 2019",LJ10,26.659,99.788,-242.0,,original
162,18,REMOVE,"Feng et al., 2019",LJ14,26.637,99.752,-242.0,,original
163,18,REMOVE,"Feng et al., 2019",LJ15,26.648,99.74,-242.0,,original
159,19,KEEP,"Feng et al., 2019",LJ11,26.658,99.783,-237.0,,original
160,19,REMOVE,"Feng et al., 2019",LJ12,26.655,99.779,-239.0,,original
189,20,KEEP,Garcin et al 2012,MANE,5.04,9.83,-185.0,4.0,original
190,20,REMOVE,"Garcin et al., 2012",MANE,5.03,9.83,-184.83,,original
211,21,KEEP,"Herrmann et al., 2017",WRZ,-32.86,18.53,-130.0,,original
212,21,REMOVE,"Herrmann et al., 2017",WRZ,-32.86,18.53,-132.0,,original
254,22,KEEP,"Herrmann et al., 2017",SRZ,-29.22,23.2,-113.0,,original
255,22,REMOVE,"Herrmann et al., 2017",SRZ,-29.22,23.2,-111.0,,original
278,23,KEEP,"Jaeschke et al., 2018",VI-Cropland,7.593,36.8544,-131.0,,original
279,23,REMOVE,"Jaeschke et al., 2018",VI-Forest,7.593,36.8544,-134.0,,original
