source,compilation,location,latitude,longitude,elevation,d2H_precip,d2H_precip_err,d2H_precip_year,chain,d2H_wax,d2H_wax_err
Aichner et al 2010,McFarlin,SET 16 (Er Hai),25.92,100.12,1967,-73,2,2018,29,-172,1
Aichner et al 2010,McFarlin,Qai-07 (Xiao Qaidam),37.46,95.58,3174,-43,4,2018,29,-156,2
Aichner et al 2010,McFarlin,Qai-02 (Ga Hai),37.036,100.576,3205,-57,6,2018,29,-150,6
Aichner et al 2010,McFarlin,LC 05 (Cuo More),29.813,94.433,4050,-126,4,2018,29,-230,2
Aichner et al 2010,McFarlin,Donggi Cona,35.227,98.65,4095,-76,5,2018,29,-162,12
Aichner et al 2010,McFarlin,LC 06 (Cuo Ang),29.825,94.456,4132,-127,4,2018,29,-232,0
Aichner et al 2010,McFarlin,MiY 46,34.679,98.064,4233,-97,4,2018,29,-169,4
Aichner et al 2010,McFarlin,LC 10,29.654,96.716,4431,-122,7,2018,29,-193,2
Aichner et al 2010,McFarlin,Koucha,34.024,97.22,4541,-111,4,2018,29,-180,5
Aichner et al 2010,McFarlin,MiY 39,33.99,97.455,4581,-112,4,2018,29,-205,4
Aichner et al 2010,McFarlin,MiY 42,34.03,97.545,4617,-112,5,2018,29,-189,13
Aichner et al 2010,McFarlin,CTP 35,34.158,95.977,4701,-113,5,2018,29,-188,5
Aichner et al 2010,McFarlin,CTP 20,32.098,89.528,4724,-135,5,2018,29,-194,1
Aichner et al 2019,McFarlin,"Karakul, Tajikistan",39.018,73.233,3915,-126,5,2019,29,-161,3.3
"Bai et al., 2011",Liu,Mt Kunlun,36.63,80.75,1900,-49,,,29,-190,
"Bai et al., 2011",Liu,Mt Kunlun,36.23,81.67,2450,-57,,,29,-189,
"Bai et al., 2011",Liu,Mt Kunlun,36.22,81.23,2900,-64,,,29,-186,
"Bai et al., 2011",Liu,Mt Kunlun,36.22,81.22,3000,-65,,,29,-183,
"Bai et al., 2011",Liu,Mt Kunlun,36.2,81.2,3200,-68,,,29,-190,
"Bai et al., 2011",Liu,Mt Kunlun,36.65,77.12,3836,-76,,,29,-183,
"Bai et al., 2011",Liu,Mt Kunlun,36.55,77.13,4450,-85,,,29,-190,
"Bai et al., 2011",Liu,Mt Kunlun,36.55,77.08,4550,-86,,,29,-192,
"Bai et al., 2011",Liu,Mt Kunlun,36.55,77.05,4650,-88,,,29,-194,
"Bai et al., 2011",Liu,Mt Kunlun,36.58,77.01,4760,-89,,,29,-198,
"Bai et al., 2011",Liu,Mt Kunlun,36.57,77,4850,-91,,,29,-197,
"Bai et al., 2011",Liu,Mt Kunlun,36.57,77,4993,-93,,,29,-198,
"Bai et al., 2014",Liu,Mt Qilian,38.02,102.38,1755,-42,,,29,-159,
"Bai et al., 2014",Liu,Mt Qilian,38,102.35,1793,-42,,,29,-174,
"Bai et al., 2014",Liu,Mt Qilian,37.94,102.3,1924,-42,,,29,-155,
"Bai et al., 2014",Liu,Mt Qilian,37.92,102.22,2059,-46,,,29,-157,
"Bai et al., 2014",Liu,Mt Qilian,35.83,104.08,2060,-42,,,29,-215,
"Bai et al., 2014",Liu,Mt Qilian,37.89,102.17,2098,-46,,,29,-161,
"Bai et al., 2014",Liu,Mt Qilian,37.89,102.12,2143,-46,,,29,-169,
"Bai et al., 2014",Liu,Mt Qilian,37.88,102.07,2184,-46,,,29,-167,
"Bai et al., 2014",Liu,Mt Qilian,37.88,102.07,2184,-46,,,29,-164,
"Bai et al., 2014",Liu,Mt Qilian,35.78,104.04,2350,-46,,,29,-212,
"Bai et al., 2014",Liu,Mt Qilian,37.8,102,2363,-50,,,29,-147,
"Bai et al., 2014",Liu,Mt Qilian,37.75,101.95,2514,-53,,,29,-142,
"Bai et al., 2014",Liu,Mt Qilian,35.79,104,2550,-49,,,29,-206,
"Bai et al., 2014",Liu,Mt Qilian,37.73,101.93,2568,-53,,,29,-156,
"Bai et al., 2014",Liu,Mt Qilian,37.71,101.92,2637,-53,,,29,-160,
"Bai et al., 2014",Liu,Mt Qilian,37.62,101.9,2690,-53,,,29,-148,
"Bai et al., 2014",Liu,Mt Qilian,35.78,103.98,2720,-52,,,29,-241,
"Bai et al., 2014",Liu,Mt Qilian,37.69,101.88,2765,-54,,,29,-161,
"Bai et al., 2014",Liu,Mt Qilian,39.22,97.978,2779,-54,,,29,-166,
"Bai et al., 2014",Liu,Mt Qilian,37.66,101.86,2885,-54,,,29,-148,
"Bai et al., 2014",Liu,Mt Qilian,35.77,103.96,2960,-58,,,29,-199,
"Bai et al., 2014",Liu,Mt Qilian,37.65,101.86,2967,-55,,,29,-157,
"Bai et al., 2014",Liu,Mt Qilian,39.32,97.85,2970,-54,,,29,-162,
"Bai et al., 2014",Liu,Mt Qilian,37.64,101.85,3035,-60,,,29,-163,
"Bai et al., 2014",Liu,Mt Qilian,37.64,101.85,3058,-60,,,29,-176,
"Bai et al., 2014",Liu,Mt Qilian,35.77,103.95,3060,-58,,,29,-201,
"Bai et al., 2014",Liu,Mt Qilian,39.33,97.84,3076,-54,,,29,-162,
"Bai et al., 2014",Liu,Mt Qilian,35.47,103.57,3100,-58,,,29,-214,
"Bai et al., 2014",Liu,Mt Qilian,37.63,101.83,3168,-62,,,29,-166,
"Bai et al., 2014",Liu,Mt Qilian,39.14,98.13,3177,-54,,,29,-163,
"Bai et al., 2014",Liu,Mt Qilian,35.78,103.95,3200,-59,,,29,-217,
