source,compilation,location,latitude,longitude,elevation,d2H_precip,d2H_precip_err,d2H_precip_year,chain,d2H_wax,d2H_wax_err,data_source,Sample Type,Functional Type,MAP (mm/yr),MAT (°C),DOI,Audit Flags
Aichner et al 2010,McFarlin,SET 16 (Er Hai),25.92,100.12,1967.0,-73.0,2.0,2018.0,29,-172.0,1.0,original,,,,,,
Aichner et al 2010,McFarlin,Qai-07 (Xiao Qaidam),37.46,95.58,3174.0,-43.0,4.0,2018.0,29,-156.0,2.0,original,,,,,,
Aichner et al 2010,McFarlin,Qai-02 (Ga Hai),37.036,100.576,3205.0,-57.0,6.0,2018.0,29,-150.0,6.0,original,,,,,,
Aichner et al 2010,McFarlin,LC 05 (Cuo More),29.813,94.433,4050.0,-126.0,4.0,2018.0,29,-230.0,2.0,original,,,,,,
Aichner et al 2010,McFarlin,Donggi Cona,35.227,98.65,4095.0,-76.0,5.0,2018.0,29,-162.0,12.0,original,,,,,,
Aichner et al 2010,McFarlin,LC 06 (Cuo Ang),29.825,94.456,4132.0,-127.0,4.0,2018.0,29,-232.0,0.0,original,,,,,,
Aichner et al 2010,McFarlin,MiY 46,34.679,98.064,4233.0,-97.0,4.0,2018.0,29,-169.0,4.0,original,,,,,,
Aichner et al 2010,McFarlin,LC 10,29.654,96.716,4431.0,-122.0,7.0,2018.0,29,-193.0,2.0,original,,,,,,
Aichner et al 2010,McFarlin,Koucha,34.024,97.22,4541.0,-111.0,4.0,2018.0,29,-180.0,5.0,original,,,,,,
Aichner et al 2010,McFarlin,MiY 39,33.99,97.455,4581.0,-112.0,4.0,2018.0,29,-205.0,4.0,original,,,,,,
Aichner et al 2010,McFarlin,MiY 42,34.03,97.545,4617.0,-112.0,5.0,2018.0,29,-189.0,13.0,original,,,,,,
Aichner et al 2010,McFarlin,CTP 35,34.158,95.977,4701.0,-113.0,5.0,2018.0,29,-188.0,5.0,original,,,,,,
Aichner et al 2010,McFarlin,CTP 20,32.098,89.528,4724.0,-135.0,5.0,2018.0,29,-194.0,1.0,original,,,,,,
Aichner et al 2019,McFarlin,"Karakul, Tajikistan",39.018,73.233,3915.0,-126.0,5.0,2019.0,29,-161.0,3.3,original,,,,,,
"Bai et al., 2011",Liu,Mt Kunlun,36.63,80.75,1900.0,-49.0,,,29,-190.0,,original,,,,,,
"Bai et al., 2011",Liu,Mt Kunlun,36.23,81.67,2450.0,-57.0,,,29,-189.0,,original,,,,,,
"Bai et al., 2011",Liu,Mt Kunlun,36.22,81.23,2900.0,-64.0,,,29,-186.0,,original,,,,,,
"Bai et al., 2011",Liu,Mt Kunlun,36.22,81.22,3000.0,-65.0,,,29,-183.0,,original,,,,,,
"Bai et al., 2011",Liu,Mt Kunlun,36.2,81.2,3200.0,-68.0,,,29,-190.0,,original,,,,,,
"Bai et al., 2011",Liu,Mt Kunlun,36.65,77.12,3836.0,-76.0,,,29,-183.0,,original,,,,,,
"Bai et al., 2011",Liu,Mt Kunlun,36.55,77.13,4450.0,-85.0,,,29,-190.0,,original,,,,,,
"Bai et al., 2011",Liu,Mt Kunlun,36.55,77.08,4550.0,-86.0,,,29,-192.0,,original,,,,,,
"Bai et al., 2011",Liu,Mt Kunlun,36.55,77.05,4650.0,-88.0,,,29,-194.0,,original,,,,,,
"Bai et al., 2011",Liu,Mt Kunlun,36.58,77.01,4760.0,-89.0,,,29,-198.0,,original,,,,,,
"Bai et al., 2011",Liu,Mt Kunlun,36.57,77.0,4850.0,-91.0,,,29,-197.0,,original,,,,,,
"Bai et al., 2011",Liu,Mt Kunlun,36.57,77.0,4993.0,-93.0,,,29,-198.0,,original,,,,,,
"Bai et al., 2014",Liu,Mt Qilian,38.02,102.38,1755.0,-42.0,,,29,-159.0,,original,,,,,,
"Bai et al., 2014",Liu,Mt Qilian,38.0,102.35,1793.0,-42.0,,,29,-174.0,,original,,,,,,
"Bai et al., 2014",Liu,Mt Qilian,37.94,102.3,1924.0,-42.0,,,29,-155.0,,original,,,,,,
"Bai et al., 2014",Liu,Mt Qilian,37.92,102.22,2059.0,-46.0,,,29,-157.0,,original,,,,,,
"Bai et al., 2014",Liu,Mt Qilian,35.83,104.08,2060.0,-42.0,,,29,-215.0,,original,,,,,,
"Bai et al., 2014",Liu,Mt Qilian,37.89,102.17,2098.0,-46.0,,,29,-161.0,,original,,,,,,
"Bai et al., 2014",Liu,Mt Qilian,37.89,102.12,2143.0,-46.0,,,29,-169.0,,original,,,,,,
"Bai et al., 2014",Liu,Mt Qilian,37.88,102.07,2184.0,-46.0,,,29,-167.0,,original,,,,,,
"Bai et al., 2014",Liu,Mt Qilian,37.88,102.07,2184.0,-46.0,,,29,-164.0,,original,,,,,,
"Bai et al., 2014",Liu,Mt Qilian,35.78,104.04,2350.0,-46.0,,,29,-212.0,,original,,,,,,
"Bai et al., 2014",Liu,Mt Qilian,37.8,102.0,2363.0,-50.0,,,29,-147.0,,original,,,,,,
