Flag,Sample,Longitude,Latitude,d2H C27,d2H C29,d2H C31,Replicates,"SE(d2H, C29)",Type,Record No.,Group,Drainage,Reported Elev (m),Source
,TS-1,84.1091,27.6397,-158,-157,-170,3.0004983348030736,2.0205581300593116,soil,1,Himalaya,Brahmaputra,160,"Bai et al. 2012 JOURNAL OF GEOPHYSICAL RESEARCH, VOL. 117, D20113, doi:10.1029/2012JD017803, 2012"
,TS-2,85,27.8,,-151,-165,3.0004983348030736,2.0205581300593116,soil,2,Himalaya,Brahmaputra,416,"Bai et al. 2012 JOURNAL OF GEOPHYSICAL RESEARCH, VOL. 117, D20113, doi:10.1029/2012JD017803, 2013"
,TS-3,83.7339,28.2639,-182,-177,-174,3.0004983348030736,2.0205581300593116,soil,3,Himalaya,Brahmaputra,850,"Bai et al. 2012 JOURNAL OF GEOPHYSICAL RESEARCH, VOL. 117, D20113, doi:10.1029/2012JD017803, 2014"
,TS-4,85.9923,28.1194,-174,-183,-186,3.0004983348030736,2.0205581300593116,soil,4,Himalaya,Brahmaputra,3485,"Bai et al. 2012 JOURNAL OF GEOPHYSICAL RESEARCH, VOL. 117, D20113, doi:10.1029/2012JD017803, 2015"
,TS-5,94.3293,35.2536,-120,-146,-163,3.0004983348030736,2.0205581300593116,soil,5,Central Tibet,Yangtze,4080,"Bai et al. 2012 JOURNAL OF GEOPHYSICAL RESEARCH, VOL. 117, D20113, doi:10.1029/2012JD017803, 2016"
,TS-6,94.0555,35.6968,-161,-167,-171,3.0004983348030736,2.0205581300593116,soil,6,Central Tibet,Ob,4556,"Bai et al. 2012 JOURNAL OF GEOPHYSICAL RESEARCH, VOL. 117, D20113, doi:10.1029/2012JD017803, 2017"
,TS-7,94.0686,35.6422,-160,-173,-174,3.0004983348030736,2.0205581300593116,soil,7,Himalaya,Brahmaputra,4750,"Bai et al. 2012 JOURNAL OF GEOPHYSICAL RESEARCH, VOL. 117, D20113, doi:10.1029/2012JD017803, 2018"
,TS-8,94.008,35.5677,-170,-163,-175,3.0004983348030736,2.0205581300593116,soil,8,Central Tibet,Yangtze,4655,"Bai et al. 2012 JOURNAL OF GEOPHYSICAL RESEARCH, VOL. 117, D20113, doi:10.1029/2012JD017803, 2019"
,TS-9,93.6043,35.4681,-154,-174,-187,3.0004983348030736,2.0205581300593116,soil,9,Central Tibet,Yangtze,4498,"Bai et al. 2012 JOURNAL OF GEOPHYSICAL RESEARCH, VOL. 117, D20113, doi:10.1029/2012JD017803, 2020"
,TS-10,93.0354,35.1699,-168,-167,-175,3.0004983348030736,2.0205581300593116,soil,10,Central Tibet,Yangtze,4677,"Bai et al. 2012 JOURNAL OF GEOPHYSICAL RESEARCH, VOL. 117, D20113, doi:10.1029/2012JD017803, 2021"
,TS-11,92.3582,34.1031,-179,-194,-200,3.0004983348030736,2.0205581300593116,soil,11,Central Tibet,Yangtze,4726,"Bai et al. 2012 JOURNAL OF GEOPHYSICAL RESEARCH, VOL. 117, D20113, doi:10.1029/2012JD017803, 2022"
,TS-12,92.0748,33.602,,-175,-185,3.0004983348030736,2.0205581300593116,soil,12,Central Tibet,Yangtze,4712,"Bai et al. 2012 JOURNAL OF GEOPHYSICAL RESEARCH, VOL. 117, D20113, doi:10.1029/2012JD017803, 2023"
,TS-13,91.8597,33.1538,-174,-182,-187,3.0004983348030736,2.0205581300593116,soil,13,Central Tibet,Yangtze,4869,"Bai et al. 2012 JOURNAL OF GEOPHYSICAL RESEARCH, VOL. 117, D20113, doi:10.1029/2012JD017803, 2024"
,TS-14,91.9726,32.9209,-182,-194,-209,3.0004983348030736,2.0205581300593116,soil,14,Central Tibet,Yangtze,5155,"Bai et al. 2012 JOURNAL OF GEOPHYSICAL RESEARCH, VOL. 117, D20113, doi:10.1029/2012JD017803, 2025"
,TS-15,91.9178,32.8828,-187,-203,-206,3.0004983348030736,2.0205581300593116,soil,15,Central Tibet,Yangtze,5201,"Bai et al. 2012 JOURNAL OF GEOPHYSICAL RESEARCH, VOL. 117, D20113, doi:10.1029/2012JD017803, 2026"
,TS-16,91.7813,31.753,-205,-204,-211,3.0004983348030736,2.0205581300593116,soil,16,Himalaya,Brahmaputra,4690,"Bai et al. 2012 JOURNAL OF GEOPHYSICAL RESEARCH, VOL. 117, D20113, doi:10.1029/2012JD017803, 2027"
,TS-17,91.8806,31.3265,-189,-209,-222,3.0004983348030736,2.0205581300593116,soil,17,Himalaya,Brahmaputra,4518,"Bai et al. 2012 JOURNAL OF GEOPHYSICAL RESEARCH, VOL. 117, D20113, doi:10.1029/2012JD017803, 2028"
,TS-18,91.6556,30.9643,-191,-214,-232,3.0004983348030736,2.0205581300593116,soil,18,Himalaya,Brahmaputra,4731,"Bai et al. 2012 JOURNAL OF GEOPHYSICAL RESEARCH, VOL. 117, D20113, doi:10.1029/2012JD017803, 2029"
,TS-19,91.5218,30.6047,-239,-241,-247,3.0004983348030736,2.0205581300593116,soil,19,Himalaya,Brahmaputra,4595,"Bai et al. 2012 JOURNAL OF GEOPHYSICAL RESEARCH, VOL. 117, D20113, doi:10.1029/2012JD017803, 2030"
,TS-20,90.5447,30.1066,-213,-211,-221,3.0004983348030736,2.0205581300593116,soil,20,Himalaya,Brahmaputra,4236,"Bai et al. 2012 JOURNAL OF GEOPHYSICAL RESEARCH, VOL. 117, D20113, doi:10.1029/2012JD017803, 2031"
% Outside of study area,TS-21,101.53,37.2,-143,-148.5,-154,3.0004983348030736,2.0205581300593116,soil,21,Northeast Tibet,Yangtze,2840,"Bai et al. 2012 JOURNAL OF GEOPHYSICAL RESEARCH, VOL. 117, D20113, doi:10.1029/2012JD017803, 2032"
% Outside of study area,TS-22,101.5087,37.2357,-157,-160,-152.9,3.0004983348030736,2.0205581300593116,soil,22,Northeast Tibet,Yangtze,2925,"Bai et al. 2012 JOURNAL OF GEOPHYSICAL RESEARCH, VOL. 117, D20113, doi:10.1029/2012JD017803, 2033"
% Outside of study area,TS-23,101.4152,37.2714,-144,-152.5,-157.9,3.0004983348030736,2.0205581300593116,soil,23,Northeast Tibet,Yangtze,3058,"Bai et al. 2012 JOURNAL OF GEOPHYSICAL RESEARCH, VOL. 117, D20113, doi:10.1029/2012JD017803, 2034"
% Outside of study area,TS-24,101.4141,37.2935,-145,-155.6,-161.4,3.0004983348030736,2.0205581300593116,soil,24,Northeast Tibet,Yangtze,3203,"Bai et al. 2012 JOURNAL OF GEOPHYSICAL RESEARCH, VOL. 117, D20113, doi:10.1029/2012JD017803, 2035"
% Outside of study area,TS-25,101.4152,37.3235,-148,-159.7,-165.7,3.0004983348030736,2.0205581300593116,soil,25,Northeast Tibet,Yangtze,3454,"Bai et al. 2012 JOURNAL OF GEOPHYSICAL RESEARCH, VOL. 117, D20113, doi:10.1029/2012JD017803, 2036"
% Outside of study area,TS-26,101.4058,37.3265,-168,-169.5,-175,3.0004983348030736,2.0205581300593116,soil,26,Northeast Tibet,Yangtze,3713,"Bai et al. 2012 JOURNAL OF GEOPHYSICAL RESEARCH, VOL. 117, D20113, doi:10.1029/2012JD017803, 2037"
% Outside of study area,TS-27,101.4059,37.371,-147,-160.4,-175,3.0004983348030736,2.0205581300593116,soil,27,Northeast Tibet,Yangtze,3537,"Bai et al. 2012 JOURNAL OF GEOPHYSICAL RESEARCH, VOL. 117, D20113, doi:10.1029/2012JD017803, 2038"
% Outside of study area,TS-28,99.9916,38.233,-158,-163.2,-151.1,3.0004983348030736,2.0205581300593116,soil,28,Northeast Tibet,Yangtze,2815,"Bai et al. 2012 JOURNAL OF GEOPHYSICAL RESEARCH, VOL. 117, D20113, doi:10.1029/2012JD017803, 2039"
