Reference,Compilation,Location,Latitude (°N),Longitude (°E),Elevation (m),δ²H n-C29 (‰ VSMOW),δ²H n-C29 SD (±‰),Sample Type,Plant Species or Type,Functional Type,δ²H Precipitation (‰ VSMOW),δ²H Precipitation SD (±‰),Apparent Fractionation ε (‰),MAP (mm/yr),MAT (°C),Vegetation Zone,Notes,DOI,Data Source,Origin,Audit Flags
Aichner et al 2019,McFarlin,"Karakul, Tajikistan",39.018,73.233,3915.0,-161.0,3.3,Lake sediment,,,-126.0,5.0,-40.0,,,,,,,User compilation,REVIEW: ε anomalous (-40‰)
"Bai et al., 2011",Liu,Mt Kunlun,36.55,77.08,4550.0,-192.0,,Soil,,,-86.0,,-116.0,,,,,,,User compilation,OK
"Bai et al., 2011",Liu,Mt Kunlun,36.57,77.0,4850.0,-197.0,,Soil,,,-91.0,,-116.6,,,,,,,User compilation,OK
"Bai et al., 2011",Liu,Mt Kunlun,36.58,77.01,4760.0,-198.0,,Soil,,,-89.0,,-119.6,,,,,,,User compilation,OK
"Bai et al., 2014",Liu,Mt Qilian,35.77,103.96,2960.0,-199.0,,Soil,,,-58.0,,-149.7,,,,,,,User compilation,OK
"Bai et al., 2014",Liu,Mt Qilian,35.78,103.95,3330.0,-216.0,,Soil,,,-62.0,,-164.2,,,,,,,User compilation,OK
"Bai et al., 2014",Liu,Mt Qilian,37.53,101.83,3869.0,-163.0,,Soil,,,-71.0,,-99.0,,,,,,,User compilation,OK
"Bai et al., 2014",Liu,Mt Qilian,37.62,101.9,2690.0,-148.0,,Soil,,,-53.0,,-100.3,,,,,,,User compilation,OK
"Bai et al., 2014",Liu,Mt Qilian,37.69,101.88,2765.0,-161.0,,Soil,,,-54.0,,-113.1,,,,,,,User compilation,OK
"Bai et al., 2014",Liu,Mt Qilian,39.31,97.72,3514.0,-168.0,,Soil,,,-64.0,,-111.1,,,,,,,User compilation,OK
"Bai et al., 2014",Liu,Mt Qilian,39.32,97.85,2970.0,-162.0,,Soil,,,-54.0,,-114.2,,,,,,,User compilation,OK
"Bai et al., 2014",Liu,Mt Qilian,39.33,97.74,3874.0,-166.0,,Soil,,,-64.0,,-109.0,,,,,,,User compilation,OK
"Bai et al., 2014",Liu,Mt Qilian,39.34,97.79,3221.0,-165.0,,Soil,,,-54.0,,-117.3,,,,,,,User compilation,OK
"Bai et al., 2014",Liu,Mt Qilian,39.34,97.79,4005.0,-166.0,,Soil,,,-64.0,,-109.0,,,,,,,User compilation,OK
"Chikaraishi and Naraoka, 2006",Liu,Gunma Prefecture,36.47,138.87,70.0,-166.0,,Soil,,,-60.0,,-112.8,,,,,,,User compilation,OK
"Chikaraishi and Naraoka, 2006",Liu,Gunma Prefecture,36.47,138.87,70.0,-168.0,,Soil,,,-60.0,,-114.9,,,,,,,User compilation,OK
"Chikaraishi and Naraoka, 2006",Liu,Gunma Prefecture,36.47,138.87,70.0,-167.0,,Soil,,,-60.0,,-113.8,,,,,,,User compilation,OK
Corcoran et al. 2022,Corcoran et al. 2022 NSF PAR preprint + Elsevier supplementary (mmc1.xlsx),"Falkland Islands, East Falkland, Mt. Usborne",-51.7022,-58.8155,520.0,-184.7,,Lake surface sediment,Surface lake sediment,Lake sediment,-67.0,,-126.2,630.0,5.5,Subantarctic grassland/heath (peat-dominated),Surface sediment (top 0.5 cm) from Tarn 4,10.1016/j.orggeochem.2022.104404,Corcoran et al. 2022 NSF PAR preprint + Elsevier supplementary (mmc1.xlsx),Computer v6,VERIFIED: Values match supplement Table S1
Corcoran et al. 2022,Corcoran et al. 2022 NSF PAR preprint + Elsevier supplementary (mmc1.xlsx),"Falkland Islands, East Falkland, Mt. Usborne",-51.7022,-58.8155,520.0,-181.2,,Lake surface sediment,Surface lake sediment,Lake sediment,-67.0,,-122.4,630.0,5.5,Subantarctic grassland/heath (peat-dominated),Surface sediment (top 0.5 cm) from Tarn 4,10.1016/j.orggeochem.2022.104404,Corcoran et al. 2022 NSF PAR preprint + Elsevier supplementary (mmc1.xlsx),Computer v6,VERIFIED: Values match supplement Table S1
