"obs_id","include_in_calibration","exclusion_reason","archive_class","archive_assignment","review_flag"
"obs_0001",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0002",TRUE,"","soil","coordinate heuristic",""
"obs_0003",TRUE,"","soil","coordinate heuristic",""
"obs_0004",TRUE,"","soil","coordinate heuristic",""
"obs_0005",TRUE,"","soil","source review",""
"obs_0006",TRUE,"","soil","source review",""
"obs_0007",TRUE,"","soil","source review",""
"obs_0008",TRUE,"","soil","source review",""
"obs_0009",TRUE,"","soil","source review",""
"obs_0010",TRUE,"","soil","source review",""
"obs_0011",TRUE,"","soil","source review",""
"obs_0012",TRUE,"","soil","source review",""
"obs_0013",TRUE,"","soil","source review",""
"obs_0014",TRUE,"","soil","coordinate heuristic",""
"obs_0015",TRUE,"","lake sediment","coordinate heuristic","near-coast lake versus marine classification remains uncertain"
"obs_0016",TRUE,"","lake sediment","coordinate heuristic","near-coast lake versus marine classification remains uncertain"
"obs_0017",TRUE,"","lake sediment","coordinate heuristic","near-coast lake versus marine classification remains uncertain"
"obs_0018",TRUE,"","lake sediment","coordinate heuristic","near-coast lake versus marine classification remains uncertain"
"obs_0019",TRUE,"","lake sediment","coordinate heuristic","near-coast lake versus marine classification remains uncertain"
"obs_0020",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0021",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0022",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0023",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0024",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0025",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0026",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0027",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0028",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0029",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0030",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0031",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0032",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0033",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0034",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0035",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0036",TRUE,"","soil","coordinate heuristic",""
"obs_0037",TRUE,"","soil","coordinate heuristic",""
"obs_0038",TRUE,"","soil","coordinate heuristic",""
"obs_0039",TRUE,"","soil","coordinate heuristic",""
"obs_0040",TRUE,"","soil","coordinate heuristic",""
"obs_0041",TRUE,"","soil","coordinate heuristic",""
"obs_0042",TRUE,"","soil","coordinate heuristic",""
"obs_0043",TRUE,"","soil","coordinate heuristic",""
"obs_0044",TRUE,"","soil","coordinate heuristic",""
"obs_0045",TRUE,"","soil","coordinate heuristic",""
"obs_0046",TRUE,"","soil","coordinate heuristic",""
"obs_0047",TRUE,"","soil","coordinate heuristic",""
"obs_0048",TRUE,"","soil","coordinate heuristic",""
"obs_0049",TRUE,"","soil","coordinate heuristic",""
"obs_0050",TRUE,"","soil","coordinate heuristic",""
"obs_0051",TRUE,"","soil","coordinate heuristic",""
"obs_0052",TRUE,"","soil","coordinate heuristic",""
"obs_0053",TRUE,"","soil","coordinate heuristic",""
"obs_0054",TRUE,"","soil","coordinate heuristic",""
"obs_0055",TRUE,"","soil","coordinate heuristic",""
"obs_0056",TRUE,"","soil","coordinate heuristic",""
"obs_0057",TRUE,"","soil","coordinate heuristic",""
"obs_0058",TRUE,"","soil","coordinate heuristic",""
"obs_0059",TRUE,"","soil","coordinate heuristic",""
"obs_0060",TRUE,"","soil","coordinate heuristic",""
"obs_0061",TRUE,"","soil","coordinate heuristic",""
"obs_0062",TRUE,"","soil","coordinate heuristic",""
"obs_0063",TRUE,"","soil","coordinate heuristic",""
"obs_0064",TRUE,"","soil","coordinate heuristic",""
"obs_0065",TRUE,"","soil","source review",""
"obs_0066",TRUE,"","soil","source review",""
"obs_0067",TRUE,"","soil","source review",""
"obs_0068",TRUE,"","soil","source review",""
"obs_0069",TRUE,"","soil","source review",""
"obs_0070",TRUE,"","soil","source review",""
"obs_0071",TRUE,"","soil","source review",""
"obs_0072",TRUE,"","soil","source review",""
"obs_0073",TRUE,"","soil","source review",""
"obs_0074",TRUE,"","soil","source review",""
"obs_0075",TRUE,"","soil","source review",""
"obs_0076",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0077",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0078",TRUE,"","lake sediment","source review",""
"obs_0079",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0080",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0081",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0082",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0083",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0084",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0085",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0086",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0087",TRUE,"","lake sediment","coordinate heuristic",""
"obs_0088",TRUE,"","fluvial sediment","source review","zonal-mean aggregate may overlap riverbed sites"
"obs_0089",TRUE,"","fluvial sediment","source review","zonal-mean aggregate may overlap riverbed sites"
"obs_0090",TRUE,"","fluvial sediment","source review","zonal-mean aggregate may overlap riverbed sites"
"obs_0091",TRUE,"","soil","source review",""
"obs_0092",TRUE,"","fluvial sediment","source review",""
"obs_0093",TRUE,"","soil","source review",""
"obs_0094",TRUE,"","marine sediment","source review",""
"obs_0095",TRUE,"","fluvial sediment","source review",""
"obs_0096",TRUE,"","soil","source review",""
"obs_0097",TRUE,"","fluvial sediment","source review",""
"obs_0098",TRUE,"","marine sediment","source review",""
"obs_0099",TRUE,"","fluvial sediment","source review",""
"obs_0100",TRUE,"","soil","source review",""
"obs_0101",TRUE,"","marine sediment","source review",""
"obs_0102",TRUE,"","fluvial sediment","source review",""
"obs_0103",TRUE,"","fluvial sediment","source review",""
"obs_0104",TRUE,"","marine sediment","source review",""
"obs_0105",TRUE,"","marine sediment","source review",""
"obs_0106",TRUE,"","fluvial sediment","source review",""
"obs_0107",TRUE,"","marine sediment","source review",""
"obs_0108",TRUE,"","fluvial sediment","source review",""
"obs_0109",TRUE,"","soil","source review",""
"obs_0110",TRUE,"","fluvial sediment","source review",""
"obs_0111",TRUE,"","soil","source review",""
"obs_0112",TRUE,"","marine sediment","source review",""
"obs_0113",TRUE,"","marine sediment","source review",""
"obs_0114",TRUE,"","fluvial sediment","source review",""
"obs_0115",TRUE,"","marine sediment","source review",""
"obs_0116",TRUE,"","fluvial sediment","source review",""
"obs_0117",TRUE,"","marine sediment","source review",""
"obs_0118",TRUE,"","fluvial sediment","source review",""
"obs_0119",TRUE,"","marine sediment","source review",""
"obs_0120",TRUE,"","marine sediment","source review",""
"obs_0121",TRUE,"","soil","source review",""
"obs_0122",TRUE,"","marine sediment","source review",""
"obs_0123",TRUE,"","fluvial sediment","source review",""
"obs_0124",TRUE,"","soil","source review",""
"obs_0125",TRUE,"","marine sediment","source review",""
"obs_0126",TRUE,"","soil","source review",""
"obs_0127",TRUE,"","marine sediment","source review",""
"obs_0128",TRUE,"","fluvial sediment","source review",""
"obs_0129",TRUE,"","fluvial sediment","source review",""
"obs_0130",TRUE,"","marine sediment","source review",""
"obs_0131",TRUE,"","fluvial sediment","source review",""
"obs_0132",TRUE,"","marine sediment","source review",""
