source,compilation,location,latitude,longitude,elevation,d2H_precip,d2H_precip_err,d2H_precip_year,chain,d2H_wax,d2H_wax_err,data_source,DOI,audit_flags,sample_type
Aichner et al 2019,McFarlin,"Karakul, Tajikistan",39.018,73.233,3915.0,-126.0,5.0,,29,-161.0,3.3,User compilation,,REVIEW: ε anomalous (-40‰),Lake sediment
"Bai et al., 2011",Liu,Mt Kunlun,36.55,77.08,4550.0,-86.0,,,29,-192.0,,User compilation,,OK,Soil
"Bai et al., 2011",Liu,Mt Kunlun,36.57,77.0,4850.0,-91.0,,,29,-197.0,,User compilation,,OK,Soil
"Bai et al., 2011",Liu,Mt Kunlun,36.58,77.01,4760.0,-89.0,,,29,-198.0,,User compilation,,OK,Soil
"Bai et al., 2014",Liu,Mt Qilian,35.77,103.96,2960.0,-58.0,,,29,-199.0,,User compilation,,OK,Soil
"Bai et al., 2014",Liu,Mt Qilian,35.78,103.95,3330.0,-62.0,,,29,-216.0,,User compilation,,OK,Soil
"Bai et al., 2014",Liu,Mt Qilian,37.53,101.83,3869.0,-71.0,,,29,-163.0,,User compilation,,OK,Soil
"Bai et al., 2014",Liu,Mt Qilian,37.62,101.9,2690.0,-53.0,,,29,-148.0,,User compilation,,OK,Soil
"Bai et al., 2014",Liu,Mt Qilian,37.69,101.88,2765.0,-54.0,,,29,-161.0,,User compilation,,OK,Soil
"Bai et al., 2014",Liu,Mt Qilian,39.31,97.72,3514.0,-64.0,,,29,-168.0,,User compilation,,OK,Soil
"Bai et al., 2014",Liu,Mt Qilian,39.32,97.85,2970.0,-54.0,,,29,-162.0,,User compilation,,OK,Soil
"Bai et al., 2014",Liu,Mt Qilian,39.33,97.74,3874.0,-64.0,,,29,-166.0,,User compilation,,OK,Soil
"Bai et al., 2014",Liu,Mt Qilian,39.34,97.79,3221.0,-54.0,,,29,-165.0,,User compilation,,OK,Soil
"Chikaraishi and Naraoka, 2006",Liu,Gunma Prefecture,36.47,138.87,70.0,-60.0,,,29,-166.0,,User compilation,,OK,Soil
Corcoran et al. 2022,Corcoran et al. 2022 NSF PAR preprint + Elsevier supplementary (mmc1.xlsx),"Falkland Islands, East Falkland, Mt. Usborne",-51.7022,-58.8155,520.0,-67.0,,,29,-184.7,,Computer v6,10.1016/j.orggeochem.2022.104404,VERIFIED: Values match supplement Table S1,Lake surface sediment
Corcoran et al. 2022,Corcoran et al. 2022 NSF PAR preprint + Elsevier supplementary (mmc1.xlsx),"Falkland Islands, East Falkland, Mt. Usborne",-51.7022,-58.8155,520.0,-67.0,,,29,-181.2,,Computer v6,10.1016/j.orggeochem.2022.104404,VERIFIED: Values match supplement Table S1,Lake surface sediment
Corcoran et al. 2022,Corcoran et al. 2022 NSF PAR preprint + Elsevier supplementary (mmc1.xlsx),"Falkland Islands, East Falkland, Mt. Usborne",-51.7022,-58.8155,520.0,-67.0,,,29,-178.8,,Computer v6,10.1016/j.orggeochem.2022.104404,VERIFIED: Values match supplement Table S1,Lake surface sediment
Corcoran et al. 2022,Corcoran et al. 2022 NSF PAR preprint + Elsevier supplementary (mmc1.xlsx),"Falkland Islands, East Falkland, Mt. Usborne",-51.6959,-58.8276,600.0,-67.0,,,29,-184.9,,Computer v6,10.1016/j.orggeochem.2022.104404,VERIFIED: Values match supplement Table S1,Lake surface sediment
