"obs_id","source","compilation","location","DOI","latitude","longitude","elevation","d2H_precip","d2H_precip_err","d2H_wax","d2H_wax_err","archive_class"
"obs_0001","Aichner et al 2019","McFarlin","Karakul, Tajikistan","10.1029/2019GL085202",39.018,73.233,3915,-126,5,-161,3.3,"lake sediment"
"obs_0002","Bai et al., 2011","Liu","Mt Kunlun","10.1016/j.orggeochem.2011.03.019",36.55,77.08,4550,-86,NA,-192,NA,"soil"
"obs_0003","Bai et al., 2011","Liu","Mt Kunlun","10.1016/j.orggeochem.2011.03.019",36.57,77,4850,-91,NA,-197,NA,"soil"
"obs_0004","Bai et al., 2011","Liu","Mt Kunlun","10.1016/j.orggeochem.2011.03.019",36.58,77.01,4760,-89,NA,-198,NA,"soil"
"obs_0005","Bai et al., 2014","Liu","Mt Qilian","10.1016/j.orggeochem.2014.05.013",35.77,103.96,2960,-58,NA,-199,NA,"soil"
"obs_0006","Bai et al., 2014","Liu","Mt Qilian","10.1016/j.orggeochem.2014.05.013",35.78,103.95,3330,-62,NA,-216,NA,"soil"
"obs_0007","Bai et al., 2014","Liu","Mt Qilian","10.1016/j.orggeochem.2014.05.013",37.53,101.83,3869,-71,NA,-163,NA,"soil"
"obs_0008","Bai et al., 2014","Liu","Mt Qilian","10.1016/j.orggeochem.2014.05.013",37.62,101.9,2690,-53,NA,-148,NA,"soil"
"obs_0009","Bai et al., 2014","Liu","Mt Qilian","10.1016/j.orggeochem.2014.05.013",37.69,101.88,2765,-54,NA,-161,NA,"soil"
"obs_0010","Bai et al., 2014","Liu","Mt Qilian","10.1016/j.orggeochem.2014.05.013",39.31,97.72,3514,-64,NA,-168,NA,"soil"
"obs_0011","Bai et al., 2014","Liu","Mt Qilian","10.1016/j.orggeochem.2014.05.013",39.32,97.85,2970,-54,NA,-162,NA,"soil"
"obs_0012","Bai et al., 2014","Liu","Mt Qilian","10.1016/j.orggeochem.2014.05.013",39.33,97.74,3874,-64,NA,-166,NA,"soil"
"obs_0013","Bai et al., 2014","Liu","Mt Qilian","10.1016/j.orggeochem.2014.05.013",39.34,97.79,3221,-54,NA,-165,NA,"soil"
"obs_0014","Chikaraishi and Naraoka, 2006","Liu","Gunma Prefecture","10.1016/j.chemgeo.2006.01.026",36.47,138.87,70,-60,NA,-166,NA,"soil"
"obs_0015","Corcoran et al. 2022","Corcoran et al. 2022 NSF PAR preprint + Elsevier supplementary (mmc1.xlsx)","Falkland Islands, East Falkland, Mt. Usborne","10.1016/j.orggeochem.2022.104404",-51.7022,-58.8155,520,-67,NA,-184.7,NA,"lake sediment"
"obs_0016","Corcoran et al. 2022","Corcoran et al. 2022 NSF PAR preprint + Elsevier supplementary (mmc1.xlsx)","Falkland Islands, East Falkland, Mt. Usborne","10.1016/j.orggeochem.2022.104404",-51.7022,-58.8155,520,-67,NA,-181.2,NA,"lake sediment"
"obs_0017","Corcoran et al. 2022","Corcoran et al. 2022 NSF PAR preprint + Elsevier supplementary (mmc1.xlsx)","Falkland Islands, East Falkland, Mt. Usborne","10.1016/j.orggeochem.2022.104404",-51.7022,-58.8155,520,-67,NA,-178.8,NA,"lake sediment"
"obs_0018","Corcoran et al. 2022","Corcoran et al. 2022 NSF PAR preprint + Elsevier supplementary (mmc1.xlsx)","Falkland Islands, East Falkland, Mt. Usborne","10.1016/j.orggeochem.2022.104404",-51.6959,-58.8276,600,-67,NA,-184.9,NA,"lake sediment"
"obs_0019","Corcoran et al. 2022","Corcoran et al. 2022 NSF PAR preprint + Elsevier supplementary (mmc1.xlsx)","Falkland Islands, East Falkland, Mt. Usborne","10.1016/j.orggeochem.2022.104404",-51.6959,-58.8276,600,-67,NA,-180.3,NA,"lake sediment"
"obs_0020","Daniels et al 2017","McFarlin","I4","10.1016/j.gca.2017.06.028",68.58,-149.58,778,-151,6,-264,NA,"lake sediment"
"obs_0021","Daniels et al 2017","McFarlin","I6HW","10.1016/j.gca.2017.06.028",68.58,-149.62,808,-151,6,-263,NA,"lake sediment"
"obs_0022","Daniels et al 2017","McFarlin","I5","10.1016/j.gca.2017.06.028",68.59,-149.59,778,-151,6,-268,NA,"lake sediment"
"obs_0023","Daniels et al 2017","McFarlin","I6","10.1016/j.gca.2017.06.028",68.6,-149.59,800,-151,6,-265,NA,"lake sediment"
"obs_0024","Daniels et al 2017","McFarlin","I8","10.1016/j.gca.2017.06.028",68.61,-149.58,748,-150,6,-260,NA,"lake sediment"
"obs_0025","Daniels et al 2017","McFarlin","S7","10.1016/j.gca.2017.06.028",68.63,-149.64,742,-150,6,-261,NA,"lake sediment"
"obs_0026","Daniels et al 2017","McFarlin","N2","10.1016/j.gca.2017.06.028",68.64,-149.62,732,-149,6,-253,NA,"lake sediment"
"obs_0027","Daniels et al 2017","McFarlin","FOG1","10.1016/j.gca.2017.06.028",68.68,-149.08,773,-151,6,-257,NA,"lake sediment"
"obs_0028","Daniels et al. 2017","Manual extraction","I1, Toolik area, Alaska","10.1016/j.gca.2017.06.028",68.569,-149.588,792.5,-166,6,-260,NA,"lake sediment"
"obs_0029","Daniels et al. 2017","Manual extraction","I7, Toolik area, Alaska","10.1016/j.gca.2017.06.028",68.601,-149.593,748,-166,6,-269,NA,"lake sediment"
"obs_0030","Daniels et al. 2017","Manual extraction","ISWAMP, Toolik area, Alaska","10.1016/j.gca.2017.06.028",68.611,-149.597,741,-166,6,-273,NA,"lake sediment"
"obs_0031","Daniels et al. 2017","Manual extraction","E1, Toolik area, Alaska","10.1016/j.gca.2017.06.028",68.626,-149.554,777,-166,6,-259,NA,"lake sediment"
"obs_0032","Daniels et al. 2017","Manual extraction","N1, Toolik area, Alaska","10.1016/j.gca.2017.06.028",68.64,-149.604,730,-166,6,-255,NA,"lake sediment"
"obs_0033","Daniels et al. 2017","Manual extraction","E5, Toolik area, Alaska","10.1016/j.gca.2017.06.028",68.643,-149.458,800,-166,7,-261,NA,"lake sediment"
"obs_0034","Daniels et al. 2017","Manual extraction","E6, Toolik area, Alaska","10.1016/j.gca.2017.06.028",68.644,-149.439,794,-166,6,-266,NA,"lake sediment"
"obs_0035","Daniels et al. 2017","Manual extraction","FOG4, Toolik area, Alaska","10.1016/j.gca.2017.06.028",68.68,-149.072,760,-166,6,-264,NA,"lake sediment"
"obs_0036","Douglas et al 2012","McFarlin","Santa Lucia","10.1016/j.gca.2012.09.005",14.12,-87.09,1405,-43,3,-135.1,1,"soil"
"obs_0037","Douglas et al 2012","McFarlin","Gaungolo","10.1016/j.gca.2012.09.005",14.26,-87.24,829,-35,1,-165.8,1,"soil"
"obs_0038","Douglas et al 2012","McFarlin","El Chile","10.1016/j.gca.2012.09.005",14.35,-86.85,1380,-43,4,-158.1,4,"soil"
"obs_0039","Douglas et al 2012","McFarlin","Comayagua","10.1016/j.gca.2012.09.005",14.45,-87.65,563,-32,2,-166.8,1,"soil"
"obs_0040","Douglas et al 2012","McFarlin","Rio Jalan","10.1016/j.gca.2012.09.005",14.45,-86.81,765,-33,2,-157.9,2,"soil"
"obs_0041","Douglas et al 2012","McFarlin","Rio Rosario","10.1016/j.gca.2012.09.005",14.48,-86.98,891,-36,2,-153.7,2,"soil"
"obs_0042","Douglas et al 2012","McFarlin","Taulabe","10.1016/j.gca.2012.09.005",14.71,-87.97,557,-32,2,-152.7,2,"soil"
"obs_0043","Douglas et al 2012","McFarlin","Copan","10.1016/j.gca.2012.09.005",14.84,-89.15,613,-34,1,-156.4,1,"soil"
"obs_0044","Douglas et al 2012","McFarlin","Rio Blanco","10.1016/j.gca.2012.09.005",14.89,-89.03,707,-36,1,-160.5,1,"soil"
"obs_0045","Douglas et al 2012","McFarlin","Pena Blanca","10.1016/j.gca.2012.09.005",14.94,-88.03,655,-33,1,-160,1,"soil"
"obs_0046","Douglas et al 2012","McFarlin","La Entrada","10.1016/j.gca.2012.09.005",15.1,-88.71,426,-31,2,-147.9,2,"soil"
"obs_0047","Douglas et al 2012","McFarlin","La Barca","10.1016/j.gca.2012.09.005",15.12,-87.94,56,-24,4,-155.3,1,"soil"
"obs_0048","Douglas et al 2012","McFarlin","Izabal Rio Oscuro","10.1016/j.gca.2012.09.005",15.38,-89.33,4,-25,4,-154,1,"soil"
"obs_0049","Douglas et al 2012","McFarlin","Naco","10.1016/j.gca.2012.09.005",15.41,-88.14,97,-25,4,-148.3,1,"soil"
"obs_0050","Douglas et al 2012","McFarlin","Izabal Centro","10.1016/j.gca.2012.09.005",15.52,-89.15,4,-24,4,-165.2,NA,"soil"
"obs_0051","Douglas et al 2012","McFarlin","El Golfete","10.1016/j.gca.2012.09.005",15.72,-88.89,0,-24,4,-151.1,1,"soil"
"obs_0052","Douglas et al 2012","McFarlin","Puente Cienega","10.1016/j.gca.2012.09.005",15.74,-89.07,75,-25,4,-155,2,"soil"
"obs_0053","Douglas et al 2012","McFarlin","Peten Itza","10.1016/j.gca.2012.09.005",16.93,-89.89,109,-25,7,-159.5,4,"soil"
"obs_0054","Douglas et al 2012","McFarlin","Yaxha","10.1016/j.gca.2012.09.005",17.07,-89.41,130,-25,7,-142.9,3,"soil"
"obs_0055","Douglas et al 2012","McFarlin","Cuerpo Uno [e]","10.1016/j.gca.2012.09.005",17.49,-90.39,115,-26,8,-147.9,1,"soil"
"obs_0056","Douglas et al 2012","McFarlin","La Corona [e]","10.1016/j.gca.2012.09.005",17.52,-90.37,151,-26,8,-148,1,"soil"
"obs_0057","Douglas et al 2012","McFarlin","Chichancanab","10.1016/j.gca.2012.09.005",19.88,-88.77,10,-20,8,-128.5,2,"soil"
"obs_0058","Douglas et al 2012","McFarlin","Hobonil","10.1016/j.gca.2012.09.005",20,-89.03,44,-21,8,-126.5,1,"soil"
"obs_0059","Douglas et al 2012","McFarlin","Cepeda Peraza","10.1016/j.gca.2012.09.005",20.16,-89.24,50,-21,8,-136.7,1,"soil"
"obs_0060","Douglas et al 2012","McFarlin","Ticul","10.1016/j.gca.2012.09.005",20.35,-89.5,10,-20,8,-143,1,"soil"
"obs_0061","Douglas et al 2012","McFarlin","Canana","10.1016/j.gca.2012.09.005",20.49,-89.17,13,-18,5,-137.7,1,"soil"
"obs_0062","Douglas et al 2012","McFarlin","Yaalchak [e]","10.1016/j.gca.2012.09.005",20.6,-89.71,6,-20,7,-142.9,1,"soil"
"obs_0063","Douglas et al 2012","McFarlin","Xoche [e]","10.1016/j.gca.2012.09.005",20.66,-89.37,16,-18,5,-153,1,"soil"
"obs_0064","Douglas et al 2012","McFarlin","Dzitya","10.1016/j.gca.2012.09.005",21.07,-89.69,5,-18,4,-128.5,1,"soil"
"obs_0065","Feng et al., 2019","Ladd","JS13","10.1016/j.chemgeo.2019.05.005",26.4786,100.4194,1246,-73.08368901,NA,-202,NA,"soil"
"obs_0066","Feng et al., 2019","Ladd","JS2","10.1016/j.chemgeo.2019.05.005",26.487,100.323,2290,-79.00912049,NA,-203,NA,"soil"
"obs_0067","Feng et al., 2019","Ladd","JS7","10.1016/j.chemgeo.2019.05.005",26.489,100.353,1794,-76.81151062,NA,-177,NA,"soil"
"obs_0068","Feng et al., 2019","Ladd","JH1","10.1016/j.chemgeo.2019.05.005",26.54,99.958,2263,-82.67067436,NA,-205,NA,"soil"
"obs_0069","Feng et al., 2019","Ladd","JH6","10.1016/j.chemgeo.2019.05.005",26.54,99.992,2701,-86.00246992,NA,-209,NA,"soil"
"obs_0070","Feng et al., 2019","Ladd","JH3","10.1016/j.chemgeo.2019.05.005",26.555,99.968,2412,-83.49885263,NA,-210,NA,"soil"
"obs_0071","Feng et al., 2019","Ladd","LJ4","10.1016/j.chemgeo.2019.05.005",26.635,99.836,2615,-87.32545894,NA,-214,NA,"soil"
"obs_0072","Feng et al., 2019","Ladd","LJ14","10.1016/j.chemgeo.2019.05.005",26.637,99.752,3608,-94.63215983,NA,-242,NA,"soil"
"obs_0073","Feng et al., 2019","Ladd","LJ3","10.1016/j.chemgeo.2019.05.005",26.64,99.85,2509,-86.49041781,NA,-214,NA,"soil"
"obs_0074","Feng et al., 2019","Ladd","LJ11","10.1016/j.chemgeo.2019.05.005",26.658,99.783,3303,-89.65413298,NA,-237,NA,"soil"
"obs_0075","Feng et al., 2019","Ladd","LJ10","10.1016/j.chemgeo.2019.05.005",26.659,99.788,3224,-89.07249616,NA,-242,NA,"soil"
"obs_0076","Freimuth et al. 2019","Manual extraction","Adirondack lakes, NY, USA (12-lake mean)","10.1016/j.gca.2019.08.026",44,-74.5,NA,NA,NA,-188,6,"lake sediment"
"obs_0077","Garcin et al. 2012","Manual extraction","Ossa, Cameroon","10.1016/j.gca.2011.11.039",3.7686,10.0049,17,-12.6,1,-147,4,"lake sediment"
"obs_0078","Garcin et al. 2012","Manual extraction","Debundscha, Cameroon","10.1016/j.gca.2011.11.039",4.1034,8.9805,70,-8.4,0,-153,5,"lake sediment"
"obs_0079","Garcin et al. 2012","Manual extraction","Barombi Mbo, Cameroon","10.1016/j.gca.2011.11.039",4.6544,9.4086,304,-15.8,3,-164,1,"lake sediment"
"obs_0080","Garcin et al. 2012","Manual extraction","Baleng, Cameroon","10.1016/j.gca.2011.11.039",5.5503,10.4211,1376,-19.8,9,-150,1,"lake sediment"
"obs_0081","Garcin et al. 2012","Manual extraction","Assom, Cameroon","10.1016/j.gca.2011.11.039",6.6245,12.9816,896,-14.9,8,-154,3,"lake sediment"
"obs_0082","Garcin et al. 2012","Manual extraction","Tabere, Cameroon","10.1016/j.gca.2011.11.039",7.1307,13.694,1161,-15.6,5,-167,1,"lake sediment"
"obs_0083","Garcin et al. 2012","Manual extraction","Tizong, Cameroon","10.1016/j.gca.2011.11.039",7.2533,13.5769,1155,-15.6,4,-155,1,"lake sediment"
"obs_0084","Garcin et al. 2012","Manual extraction","Mamguiewa, Cameroon","10.1016/j.gca.2011.11.039",8.3909,13.7089,322,-17.9,10,-156,8,"lake sediment"
"obs_0085","Garcin et al. 2012","Manual extraction","Rhumsiki, Cameroon","10.1016/j.gca.2011.11.039",10.5082,13.5838,1028,-26,5,-167,3,"lake sediment"
"obs_0086","Garcin et al. 2012","Manual extraction","Mora, Cameroon","10.1016/j.gca.2011.11.039",11.0547,14.1457,438,-27.6,3,-170,3,"lake sediment"
"obs_0087","Garcin et al., 2012","Ladd","MANE","10.1016/j.gca.2011.11.039",5.03,9.83,1911,-36.60037978,NA,-184.83,NA,"lake sediment"
"obs_0088","Gaviria-Lugo et al. 2023","Manual extraction","Chile, humid zone (mean)","10.5194/bg-20-4433-2023",-38,-73,NA,NA,NA,-185,NA,"fluvial sediment"
"obs_0089","Gaviria-Lugo et al. 2023","Manual extraction","Chile, semiarid zone (mean)","10.5194/bg-20-4433-2023",-32,-71,NA,NA,NA,-140,NA,"fluvial sediment"
"obs_0090","Gaviria-Lugo et al. 2023","Manual extraction","Chile, hyperarid zone (mean)","10.5194/bg-20-4433-2023",-24,-70,NA,NA,NA,-90,NA,"fluvial sediment"
"obs_0091","Gaviria-Lugo et al., 2023","","Maullin B","10.5194/bg-20-4433-2023",-41.4787,-73.2756,NA,-50,1.5,-185.2,0.7,"soil"
"obs_0092","Gaviria-Lugo et al., 2023","","Rio Maullin","10.5194/bg-20-4433-2023",-41.474,-73.2726,NA,-53.8,1.4,-168.4,9.1,"fluvial sediment"
"obs_0093","Gaviria-Lugo et al., 2023","","Maullin A","10.5194/bg-20-4433-2023",-41.474,-73.2726,NA,-50,1.5,-173.9,7.9,"soil"
"obs_0094","Gaviria-Lugo et al., 2023","","GeoB7194-1_1-2 cm","10.5194/bg-20-4433-2023",-41.4175,-74.4337,NA,NA,NA,-164.1,4.5,"marine sediment"
"obs_0095","Gaviria-Lugo et al., 2023","","Rio Llico","10.5194/bg-20-4433-2023",-41.2269,-73.753,NA,-54.8,1.6,-171.2,5,"fluvial sediment"
"obs_0096","Gaviria-Lugo et al., 2023","","Bueno","10.5194/bg-20-4433-2023",-40.3326,-73.4128,NA,-57.8,0.8,-163.8,3.2,"soil"
"obs_0097","Gaviria-Lugo et al., 2023","","Rio Bueno","10.5194/bg-20-4433-2023",-40.29,-73.5354,NA,-61.1,1,-165.1,0.2,"fluvial sediment"
"obs_0098","Gaviria-Lugo et al., 2023","","GeoB7214-1_1-2 cm","10.5194/bg-20-4433-2023",-39.875,-74.1672,NA,NA,NA,-155.9,1.6,"marine sediment"
"obs_0099","Gaviria-Lugo et al., 2023","","Rio CalleCalle","10.5194/bg-20-4433-2023",-39.7902,-73.1749,NA,-63.5,1,-170,2.3,"fluvial sediment"
"obs_0100","Gaviria-Lugo et al., 2023","","CalleCalle","10.5194/bg-20-4433-2023",-39.7885,-72.9681,NA,-55,0.4,-160.8,1.9,"soil"
"obs_0101","Gaviria-Lugo et al., 2023","","GeoB7212-1_1-2 cm","10.5194/bg-20-4433-2023",-39.7,-74.38,NA,NA,NA,-153.8,2.9,"marine sediment"
"obs_0102","Gaviria-Lugo et al., 2023","","Rio Cruces","10.5194/bg-20-4433-2023",-39.5493,-72.8419,NA,-57.3,0.5,-160.4,6.1,"fluvial sediment"
"obs_0103","Gaviria-Lugo et al., 2023","","Rio Tolten","10.5194/bg-20-4433-2023",-39.0747,-73.1397,NA,-61.8,1.2,-179.1,0.2,"fluvial sediment"
"obs_0104","Gaviria-Lugo et al., 2023","","GeoB7207-1_1-2 cm","10.5194/bg-20-4433-2023",-39.07,-74.37,NA,NA,NA,-166.3,4.1,"marine sediment"
"obs_0105","Gaviria-Lugo et al., 2023","","GeoB7209-2_1-2 cm","10.5194/bg-20-4433-2023",-38.9913,-74.1642,NA,NA,NA,-161.5,5.9,"marine sediment"
"obs_0106","Gaviria-Lugo et al., 2023","","Rio Imperial","10.5194/bg-20-4433-2023",-38.7287,-73.1267,NA,-54.5,0.9,-163.4,1.4,"fluvial sediment"
"obs_0107","Gaviria-Lugo et al., 2023","","GeoB7198-1_1-2 cm","10.5194/bg-20-4433-2023",-38.17,-74.39,NA,NA,NA,-150.6,2.6,"marine sediment"
"obs_0108","Gaviria-Lugo et al., 2023","","Estero Los Gringos","10.5194/bg-20-4433-2023",-37.8035,-72.9371,NA,-57.4,2.3,-173.6,0.1,"fluvial sediment"
"obs_0109","Gaviria-Lugo et al., 2023","","BioBio B","10.5194/bg-20-4433-2023",-37.3473,-72.885,NA,-38.7,1.4,-164.2,2.2,"soil"
"obs_0110","Gaviria-Lugo et al., 2023","","Rio BioBio","10.5194/bg-20-4433-2023",-37.1131,-72.9647,NA,-54.9,1.7,-158.1,1.8,"fluvial sediment"
"obs_0111","Gaviria-Lugo et al., 2023","","BioBio A","10.5194/bg-20-4433-2023",-37.1126,-72.9619,NA,-34.3,1.4,-178.7,1.3,"soil"
"obs_0112","Gaviria-Lugo et al., 2023","","GeoB7162-4_1-2 cm","10.5194/bg-20-4433-2023",-36.5427,-73.6672,NA,NA,NA,-164.8,0.3,"marine sediment"
"obs_0113","Gaviria-Lugo et al., 2023","","GeoB7167-4_1-2 cm","10.5194/bg-20-4433-2023",-36.45,-73.91,NA,NA,NA,-149.8,2.7,"marine sediment"
"obs_0114","Gaviria-Lugo et al., 2023","","Rio Itata","10.5194/bg-20-4433-2023",-36.3999,-72.7762,NA,-47.3,1.2,-175.4,0.2,"fluvial sediment"
