"model","region","n","rmse","r_squared"
"baseline","Overall",1124,21.240520086209,0.695086752620026
"baseline","Africa",143,20.5103985383144,0.0208282864644598
"baseline","Americas",365,20.0006962674186,0.828926972740846
"baseline","Asia",551,20.3902015997173,0.46358543637902
"baseline","Europe",30,17.1834662539805,0.71805236151951
"baseline","Oceania",35,42.4245600559825,0.637412506980497
"baseline_sp","Overall",1124,16.1114398405818,0.824664010125885
"baseline_sp","Africa",143,12.1744148339747,0.63939256204939
"baseline_sp","Americas",365,15.3242559471367,0.890859049923032
"baseline_sp","Asia",551,17.7133422842373,0.576244579503562
"baseline_sp","Europe",30,12.4304982837006,0.754649090698529
"baseline_sp","Oceania",35,14.4801858573719,0.876254678144494
"baseline_env","Overall",1124,20.2395565572993,0.723150656913776
"baseline_env","Africa",143,19.3612020326483,0.116260765662054
"baseline_env","Americas",365,19.4702673908627,0.841083383674369
"baseline_env","Asia",551,19.8489938848239,0.474983096206341
"baseline_env","Europe",30,14.1290332826839,0.741450256419247
"baseline_env","Oceania",35,36.0114789490015,0.666414664922462
"baseline_env_sp","Overall",1124,15.7846110201648,0.831719840933688
"baseline_env_sp","Africa",143,11.4219147892165,0.683929301622754
"baseline_env_sp","Americas",365,14.9711708567141,0.89584066016862
"baseline_env_sp","Asia",551,17.4524832749144,0.58861389379125
"baseline_env_sp","Europe",30,12.2939937832483,0.760911215934834
"baseline_env_sp","Oceania",35,14.3633539949178,0.874337745721913
"baseline_veg","Overall",1124,19.9872693050877,0.730009880487163
"baseline_veg","Africa",143,14.7202502325259,0.551119536747053
"baseline_veg","Americas",365,19.4433934765143,0.842858804497838
"baseline_veg","Asia",551,19.7449372240303,0.482768836919812
"baseline_veg","Europe",30,16.1247171435718,0.689015223783288
"baseline_veg","Oceania",35,40.5112548117566,0.588175379614616
"baseline_veg_sp","Overall",1124,15.9162979875257,0.828865711787787
"baseline_veg_sp","Africa",143,11.2110557661318,0.693620162735054
"baseline_veg_sp","Americas",365,14.8984980263408,0.896862196388426
"baseline_veg_sp","Asia",551,17.7584803471647,0.574055994910578
"baseline_veg_sp","Europe",30,12.4785335173022,0.752450058650479
"baseline_veg_sp","Oceania",35,14.4556906301484,0.875547894054784
"full","Overall",1124,19.9428208781506,0.731207568426242
"full","Africa",143,16.302368101448,0.410649974457094
"full","Americas",365,19.9209351239706,0.83044074656586
"full","Asia",551,19.6491067383426,0.482343564864555
"full","Europe",30,13.3305745072639,0.750551745826353
"full","Oceania",35,36.2983569584665,0.625284371374682
"full_sp","Overall",1124,15.7190555466519,0.833105617194237
"full_sp","Africa",143,10.7269818473901,0.721537675803432
"full_sp","Americas",365,14.9746349794109,0.895775926465889
"full_sp","Asia",551,17.4527034013644,0.588602429797753
"full_sp","Europe",30,12.4407746257258,0.75502653343019
"full_sp","Oceania",35,14.0909507960337,0.877590680133754
"full_interact","Overall",1124,19.279431780318,0.748794639973136
"full_interact","Africa",143,14.5444380931124,0.56890276556775
"full_interact","Americas",365,18.5312168587748,0.861098812647884
"full_interact","Asia",551,19.5787785815805,0.483051644566207
"full_interact","Europe",30,13.4216094102988,0.725071246451879
"full_interact","Oceania",35,36.0852631255655,0.596384134918009
"full_interact_sp","Overall",1124,15.6934906534209,0.833638709006853
"full_interact_sp","Africa",143,10.7954816014952,0.715905585739505
"full_interact_sp","Americas",365,14.7684934744731,0.898648054091969
"full_interact_sp","Asia",551,17.4882450304114,0.58693994148879
"full_interact_sp","Europe",30,12.1562463193511,0.766186088094926
"full_interact_sp","Oceania",35,14.7353566595616,0.871446003419219
"elevation_only_sp","Overall",1124,15.8693028595159,0.829914469883503
"elevation_only_sp","Africa",143,11.3777345698196,0.687521381857598
"elevation_only_sp","Americas",365,15.0547279280433,0.894688427978261
"elevation_only_sp","Asia",551,17.5629325701819,0.58337402318815
"elevation_only_sp","Europe",30,12.3722474278531,0.757454624107519
"elevation_only_sp","Oceania",35,14.4156684172926,0.875155142312067
"elevation_c4_sp","Overall",1124,15.8597971976482,0.830121750933862
"elevation_c4_sp","Africa",143,11.3484283024963,0.689321902884745
"elevation_c4_sp","Americas",365,15.0406377905542,0.894893176314014
"elevation_c4_sp","Asia",551,17.5590660039602,0.583571523831667
"elevation_c4_sp","Europe",30,12.3572789770987,0.757943540703502
"elevation_c4_sp","Oceania",35,14.412640097139,0.874901668678953
"c4_only_sp","Overall",1124,16.1183464881042,0.824503568220232
"c4_only_sp","Africa",143,12.2332570125373,0.635877470318777
"c4_only_sp","Americas",365,15.3482326840269,0.890513894972204
"c4_only_sp","Asia",551,17.7183796793935,0.575995271843868
"c4_only_sp","Europe",30,12.3900526017904,0.756290239300027
"c4_only_sp","Oceania",35,14.1893514975776,0.880816441707581
"elevation_c4_interact_sp","Overall",1124,15.8327253172988,0.83069020055131
"elevation_c4_interact_sp","Africa",143,11.4331907465337,0.683585092423493
"elevation_c4_interact_sp","Americas",365,14.9558775005099,0.89607217186835
"elevation_c4_interact_sp","Asia",551,17.5555463219372,0.583730289132078
"elevation_c4_interact_sp","Europe",30,12.3547239926597,0.758242882135713
"elevation_c4_interact_sp","Oceania",35,14.1702462745509,0.879002871894444
