"field","n_differences","fit_input_md5","public_input_md5"
"obs_id",0,"bb52649130a02b9b7d897325899b4f5a","81d8276e28e4c05dc7784604e1120baf"
"source",27,"bb52649130a02b9b7d897325899b4f5a","81d8276e28e4c05dc7784604e1120baf"
"compilation",0,"bb52649130a02b9b7d897325899b4f5a","81d8276e28e4c05dc7784604e1120baf"
"location",0,"bb52649130a02b9b7d897325899b4f5a","81d8276e28e4c05dc7784604e1120baf"
"DOI",27,"bb52649130a02b9b7d897325899b4f5a","81d8276e28e4c05dc7784604e1120baf"
"latitude",0,"bb52649130a02b9b7d897325899b4f5a","81d8276e28e4c05dc7784604e1120baf"
"longitude",0,"bb52649130a02b9b7d897325899b4f5a","81d8276e28e4c05dc7784604e1120baf"
"elevation",0,"bb52649130a02b9b7d897325899b4f5a","81d8276e28e4c05dc7784604e1120baf"
"d2H_precip",0,"bb52649130a02b9b7d897325899b4f5a","81d8276e28e4c05dc7784604e1120baf"
"d2H_precip_err",0,"bb52649130a02b9b7d897325899b4f5a","81d8276e28e4c05dc7784604e1120baf"
"d2H_wax",0,"bb52649130a02b9b7d897325899b4f5a","81d8276e28e4c05dc7784604e1120baf"
"d2H_wax_err",0,"bb52649130a02b9b7d897325899b4f5a","81d8276e28e4c05dc7784604e1120baf"
"archive_class",0,"bb52649130a02b9b7d897325899b4f5a","81d8276e28e4c05dc7784604e1120baf"
